                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.68596,                 0.3649,                  0.874,                 0.9631,                0.97222,                0.98518,                0.79951,                 0.8514,                0.42082,                0.92195,             0.00024064,             0.00024064,             0.00024064
                     86,                0.64778,                0.34517,                0.84241,                0.96403,                0.97222,                0.98611,                0.80782,                0.83323,                0.40573,                0.91815,              0.0002265,              0.0002265,              0.0002265
                     87,                0.65825,                0.35356,                0.84905,                0.96697,                0.97222,                0.98833,                0.81165,                0.80805,                0.39741,                0.91148,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.6664,                0.35285,                0.86221,                0.96646,                0.97222,                0.98967,                0.80726,                0.80726,                0.40517,                0.90886,              0.0001982,              0.0001982,              0.0001982
                     89,                0.66164,                0.35098,                0.86781,                0.96615,                0.97222,                0.98833,                0.81472,                0.81199,                0.41391,                0.90707,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.6173,                0.34028,                0.84604,                0.96559,                0.97222,                0.98433,                0.80597,                0.81332,                0.41121,                0.90612,             0.00016991,             0.00016991,             0.00016991
                     91,                0.61184,                 0.3306,                 0.8603,                0.96512,                0.97222,                0.97225,                 0.7978,                0.80409,                0.40047,                0.90354,             0.00015576,             0.00015576,             0.00015576
                     92,                0.58985,                0.32755,                 0.8405,                0.96527,                0.97222,                0.97107,                 0.7991,                0.79838,                 0.4086,                0.90303,             0.00014161,             0.00014161,             0.00014161
                     93,                0.58399,                0.32349,                0.83811,                0.96533,                0.97222,                0.96607,                0.78344,                0.79648,                0.40981,                0.90189,             0.00012747,             0.00012747,             0.00012747
                     94,                0.58592,                0.32441,                0.84611,                0.96544,                0.97222,                0.96357,                0.77864,                0.79379,                0.40429,                0.89988,             0.00011332,             0.00011332,             0.00011332
                     95,                0.58938,                0.32434,                0.84444,                0.96567,                0.97222,                0.96357,                0.77713,                0.79664,                0.40729,                0.89695,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.57551,                0.31996,                0.83095,                0.96559,                0.97222,                0.96357,                0.78119,                0.79783,                0.40903,                0.89678,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.54986,                0.31776,                0.83089,                 0.9654,                0.97222,                0.96433,                 0.7752,                0.80217,                0.40787,                0.89684,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.58122,                0.31746,                0.84665,                0.96527,                0.97222,                0.96433,                 0.7727,                0.80933,                0.40692,                0.89694,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.55951,                0.31322,                0.84356,                  0.965,                0.97222,                0.96018,                0.77397,                0.81227,                0.41152,                0.89691,             4.2584e-05,             4.2584e-05,             4.2584e-05
