                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.81524,                0.42178,                0.90673,                0.98122,                0.98039,                0.98967,                0.73056,                 1.0557,                0.48192,                 1.0115,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.8193,                0.42922,                0.89821,                0.98604,                0.98039,                0.98339,                0.74065,                 1.0385,                0.47792,                 1.0146,             0.00062262,             0.00062262,             0.00062262
                     59,                0.82271,                0.49785,                0.93243,                 0.9892,                0.98039,                0.98129,                0.73582,                 1.0249,                0.49179,                 1.0152,             0.00060847,             0.00060847,             0.00060847
                     60,                0.76263,                 0.4025,                0.88547,                0.99021,                0.98039,                0.98173,                0.72807,                 1.0355,                0.50188,                 1.0099,             0.00059432,             0.00059432,             0.00059432
                     61,                0.66152,                0.45414,                0.74784,                0.98788,                0.98039,                 0.9815,                0.72156,                 1.0275,                0.51241,                0.99687,             0.00058017,             0.00058017,             0.00058017
                     62,                0.74231,                0.40114,                0.87648,                0.98613,                0.98039,                0.98142,                0.73039,                0.96841,                0.48013,                0.98466,             0.00056603,             0.00056603,             0.00056603
                     63,                0.82094,                0.42629,                0.93371,                0.98353,                0.98039,                0.98222,                0.73877,                0.98692,                0.46218,                0.99166,             0.00055188,             0.00055188,             0.00055188
                     64,                0.86641,                0.41849,                0.93531,                0.98122,                0.98039,                0.98233,                0.74617,                 0.9703,                0.45229,                0.98729,             0.00053773,             0.00053773,             0.00053773
                     65,                0.77078,                0.50454,                 0.9338,                0.98419,                0.98039,                0.98319,                 0.7598,                0.94696,                0.45886,                0.98475,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.7569,                0.38868,                0.88316,                0.98616,                0.98039,                0.98272,                0.76697,                0.92481,                0.45287,                0.98177,             0.00050944,             0.00050944,             0.00050944
                     67,                0.74228,                0.39353,                0.89014,                0.97051,                0.98039,                0.98719,                0.75911,                 0.9822,                 0.4596,                0.98206,             0.00049529,             0.00049529,             0.00049529
                     68,                0.76568,                0.39678,                 0.8862,                0.97584,                0.97978,                0.98258,                0.74569,                 1.0127,                0.46242,                0.98819,             0.00048114,             0.00048114,             0.00048114
                     69,                0.79496,                0.43552,                 0.9089,                0.97502,                0.98039,                0.98719,                0.75188,                 1.0157,                0.46186,                0.99081,               0.000467,               0.000467,               0.000467
                     70,                0.74884,                0.39775,                0.87919,                 0.9772,                0.98039,                0.98337,                0.72426,                 1.0426,                0.48019,                 1.0072,             0.00045285,             0.00045285,             0.00045285
